id,text,is_humor,votes_no,votes_1,votes_2,votes_3,votes_4,votes_5,humor_rating,humor_mechanism,humor_target
tweet1,"Niveles de retraso mental: 

— Bajo.
— Medio.
— Alto.
— Elevado.
— Regresar con tu ex.",1,1,2,2,0,0,0,1.5,,
tweet2,"—Vamos Luke desenfunda tu sable, demuestra tu odio, que perteneces al lado oscuro
—Señor súbase los pantalones o llamo a seguridad.
—JAJAJA.",1,1,3,0,1,0,0,1.5,,
tweet3,"- ¿Te ofrezco algo?, ¿Agua, café, mi corazón, mi vida entera?
-Agua está bien
-Pero yo creí que...
- ¡AGUA DIJE!",1,0,2,1,0,1,1,2.6,,
tweet4,No se porqué me hago la cabeza deooos,0,3,0,0,0,0,0,NULL,,
tweet5,Quisiera saber que hago durante la siesta de la cual me levanto más cansado que cuando me acosté a dormir.,0,4,0,1,0,0,0,NULL,,
tweet6,"La persona que te dice que no se arrepiente de nada en la vida, o no toma alcohol, o no lleva el celular cuando lo hace.",0,3,1,1,0,0,0,NULL,,
tweet7,"—Buenas don Pepe, ¿me vende un litro de leche?
—¿Entera?
—No, si quiere tómese un vasito pinche viejo abusivo...",1,1,1,1,1,1,0,2.5,,
tweet8,Meeee aburro,0,3,0,0,0,0,0,NULL,,
tweet9,Macri le dijo las gordas que usar calzas está bien.,0,3,0,0,0,0,0,NULL,,
tweet10,JAVIER CHICALITO HERNANDEZ *7,0,3,0,0,0,0,0,NULL,,
tweet11,"Conducir a Cerro Navia, compartir información de la carretera en tiempo real con wazers en mi zona. ETA 11:20 PM usando @waze - Conducció...",0,3,0,0,0,0,0,NULL,,
tweet12,#LosNiñosBonitos le ponen pausa al videojuego para escuchar lo que dicen #LasNiñasBonitas.,0,3,0,0,0,0,0,NULL,,
tweet13,#20CosasQueHacerAntesDeMorir: Enseñarles la diferencia entre: -Hay de haber -Ahí de lugar -Ay de exclamar - Ai se eu te pego.,1,0,1,1,2,1,0,2.6,reference,
tweet14,Leí que la falta de sexo trae consigo una notable mejora en el léxico. Me quedo absorto ante tal afirmación carente de raciocinio.,1,1,1,0,1,1,1,3.25,,
tweet15,"y ahora un poco mas breve:
Sevillista que VENDA UNA acción, una:
Traidor.",0,3,0,0,0,0,0,NULL,,
tweet16,Ya apronté él bolso,0,3,0,0,0,0,0,NULL,,
tweet17,Esas canciones del celular que nunca escuchamos pero no las borramos ''por si acaso'',0,6,1,1,1,0,0,NULL,,
tweet18,"""Se te ven buenas chichis en tu foto de Whatsapp""

*enviar a todas*",0,3,1,1,0,0,0,NULL,,
tweet19,Ni Jesús te ama.,0,4,0,0,0,1,0,NULL,,
tweet20,"Ah no, bien.",0,3,0,0,0,0,0,NULL,,
tweet21,Te quiero pero #YoTan Twitter y tú tan Facebook.,1,2,2,0,1,0,0,1.6667,analogy,
tweet22,"-El alcohol es un veneno. –Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen",1,2,1,1,0,1,0,2.3333,reference,substance use
tweet23,"Cambié mi contraseña de Twitter por ''incorrecta'', si se me olvida, twitter me la recordará: Su contraseña es ''incorrecta''. Soy una genio",1,0,0,3,5,1,0,2.7777777777777777,irony,
tweet24,estoy mas en twitter que en clase (en clase),1,2,1,1,1,0,0,2.0,,
tweet25,"— Di algo bonito.
— Tú.
— Aún más bonito.
— Nosotros.",0,4,1,0,0,0,0,NULL,,
tweet26,Un piano me caería excelente en estos momentos.,1,1,1,1,1,1,0,2.5,,
tweet27,saludos a todos,0,3,0,0,0,0,0,NULL,,
tweet28,"— ¿Cómo va la dieta? 

— Me la comí.",1,1,0,8,3,2,2,2.8666666666666667,,
tweet29,WhatsApp cayó varias veces en 2015 y vos todavía no caes que nadie te soporta.,1,2,2,0,0,0,1,2.3333,insults,
tweet30,Lo malo de ser latina es que tenemos que vivir sabiendo que probablemente nunca abrazaremos a nuestros idolos,0,3,0,0,0,0,0,NULL,,
tweet31,"- Hijo ¿compraste una iPad?

- No ¿Por qué? 

- Entonces ¿Por qué traes esa ""Tableta sin Teclas"" Jajajá!

- Ya Mamá, deja a mi novia en paz!",1,1,4,0,0,0,0,1,,
tweet32,"Los hombres solo le vemos las nalgas a otras mujeres solo para decir: ""Ah, están más bonitas las de mi novia"". Y ustedes haciendo un drama.",1,1,0,2,2,0,0,2.5,irony,
tweet33,"Soy virgen, lo juro por mis dos hijos!",1,2,1,2,0,0,0,1.6666666667,absurd,
tweet34,"—Bienvenido a los X-Men, ¿cuál es tu poder? 
—Creo regresaré con mi Ex
—Muy bien, te llamaremos «Bestia».",1,0,2,2,0,1,0,2.0,parody,
tweet35,Tomar champaña después de lavarse los dientes. Mas rico,0,3,0,0,0,0,0,NULL,,
tweet36,"Soy La La Land en el amor.

#Oscars",0,3,0,0,0,0,0,NULL,,
tweet37,"No se si estoy cruda, peda, viva, arriba, abajo, cintura sola, la media vuelta, despacito, quiero respirar tu cuello deeeees pa ci to.",0,3,0,0,0,0,0,NULL,,
tweet38,Me acelera el corazón cada vez que siento adrenalina #ConChecoEnInfinitum,0,3,0,0,0,0,0,NULL,,
tweet39,"Otra vez me estaba sintiendo lindo y pum, nuevamente todo al piso xdxd",0,3,0,0,0,0,0,NULL,,
tweet40,"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",1,0,1,1,2,1,0,2.6,embarrassment,health
tweet41,Vengo de ver Fifty Shades Freed y tengo senimienos encontrados.,0,3,0,0,0,0,0,NULL,,
tweet42,"Que te pongan una vacuna y gritar: ""La base de datos de virus ha sido actualizada""",1,1,3,6,1,0,1,2.090909090909091,,
tweet43,"Te pienso en 3D. —""D""espierto —""D""ormido —""D""onde sea.",0,3,0,0,0,0,0,NULL,,
tweet44,"+quiero un 00:00?
- y yo quiero que te vallas ala concha de tu madre.",1,1,4,0,0,0,0,1.0,,
tweet45,"—Hola linda, ¿Por qué tan sola? —Es que me vine a tirar un pedo.",1,1,3,4,2,0,0,1.8888888888888888,unmasking,
tweet46,Lo bueno que tras la muerte de Fidel su rostro será inmortalizado en mercancía capitalista tal como sucedió con el Che.,0,3,0,0,0,0,0,NULL,,
tweet47,Madurar es dejar de creer que el profesor Jirafales sólo entraba a tomar una tacita de café #XD,1,1,2,1,0,1,0,2,reference,
tweet48,Estaba re emocionada 😂😂😂,0,3,0,0,0,0,0,NULL,,
tweet49,Necesito bajar 20 kilos o 10 pa ser normal auqnue sea,0,3,1,1,0,0,0,NULL,,
tweet50,"Mirarle y pensar 'Ese era mi amigo, como pudo cambiar tanto...""",0,6,0,0,0,0,0,NULL,,
tweet51,"""Despedí a Carmen Aristegui por presión de los Pinos"" Atte: Joaquín Vargas.

#NOOOOOMEEEEEDIIIGAAAASSSSSSS!!!",0,3,0,1,0,0,0,NULL,,
tweet52,"#TeRecuerdoQue el mañana es lo único que no tenemos seguro, así que disfruta el hoy como si fuera el último día.",0,3,0,0,0,0,0,NULL,,
tweet53,¿Que por qué no tengo tatuajes? ¿Acaso le pondrías una calcomanía a un Lamborghini?,1,1,2,2,0,0,0,1.5,,
tweet54,"Sí mira amiga, nos vale verga que sepas andar en patineta, ya sabemos la pobreza que compartes con tu novio el mariguanero piojoso ese.",0,4,0,0,0,0,0,NULL,,
tweet55,ahora tengo q subir de 16 grupos más pero ya me puse la pijama,0,4,0,0,0,0,0,NULL,,
tweet56,"—¿Y Thomas? —No, yo no tomo. —No, ¿Que si Thomas vino? —No me gusta el vino. —¡No! ¡¿Que si llegó Thomas?! —No, no tomaré ni aunque llegues.",1,2,6,2,3,0,1,2.0,misunderstanding,
tweet57,"Extraño a Ancelotti, con su ceja arqueada y masticando chicle, poniendo de titular a mi bebé James.",0,4,0,1,0,0,0,NULL,,
tweet58,"¿En que se parecen un ginecólogo y un camarero?
En que los dos trabajan donde los demas se divierten.
#Chistes #H...",1,0,0,2,1,2,0,3.0,,
tweet59,"""Oye we ¿entonces a qué berga vienes a la escuela?""

—Yo, cuando alguien no tiene los apuntes que necesito.",1,2,2,1,0,0,0,1.3333,,
tweet60,Todo es más emocionante cuando sé que te voy a ver.,0,4,0,0,0,0,0,NULL,,
