tuit,pol
"RT @ObservadorUY: La amiga del hombre asesinado publicó en Facebook que el asesinato fue para robarle ""la cartera que tenía 300 pesos""
http…",NONE
RT @ObservadorUY: Último momento: tribunal desestima demanda de Philip Morris contra Uruguay. La tabacalera deberá pagar US$ 7 millones por…,NONE
¡La gente se indigna porque se le critica que echan a correr cualquier bolazo!,N
"es confuso, porque la supuesta inquilina no paga alquiler, jerarca dice q es amiga mmmmm #raroraroraro
https://t.co/dkhLwbNjVu",N
"Terminé de leer la guía educativa de diversidad sexual https://t.co/AzirduAZyB
Pocas veces ví más desinformación sobre un tema en los medios",N
"Uruguay se floreó en casa y está un poco más cerca de Rusia 2018
https://t.co/mu5UJJL4PG
#SOYCELESTE @SoyCelestee https://t.co/tt8bpbEP2y",P
RT @AdolfoUmpierrez: @janarhertz la del MEF la dejaría para el indigmómetro del viernes que viene... Todas las de esta semana las mató Phil…,N
"jajaja muy bueno
https://t.co/i4mfeb1qdY",P
gente indignada por no poder estar en contra de algo sin estar informado del tema ¡Habrase visto!,N
"RT @radicalfreedom: Por suerte en breve desembarca @janarhertz a empaparse de los secretos de la educación. No hay recetas mágicas, está to…",P
No pasa nada c/queco MEF. Estarían haciendo Reencuentro Fatal 2 con la actuación estelar de MJM https://t.co/Xuz44qQD49,N
El pelado lo peor de la final,N
Todavía NADIE fue capaz de decirme en qué página de la guía se obliga a los docentes a hacer pública su opción sexual.,N
Indignómetro de esta semana,NONE
el puchito post-ganarle a Philip Morris,NONE
RT @Osvaldito2013: Uno ya sabe que le ganamos el juicio a Phillips Morris porque si hubiéramos perdido la cadena se la hacían hacer a Astor…,NEU
"-horror q obliguen a los docentes a contar su vida privada
-quién los obliga?
-la vida privada es privada
-y?
-#prayfororlando",N
"RT @andresscagliola: @raulzanella @janarhertz No existe la ""propaganda gay"" porque no hay a quien convencer. Existe la educación sexual bas…",NEU
"muchachos ¡cuánto veneno q tienen algunos!
miren q a mí me resulta entretenido igual, vengan q hay amor para todos 😎",P
Qué bien que marcaron a Messi,P
"RT @MartinVeiga22: Larrañaga y la gente en ROCHA 
Sábado 8 , 10:45 hs. 
Casa del Partido Nacional, ciudad de Rocha. #Juntos 
. ¡Todos invit…",NONE
Diegote tenía razón?,NONE
"Tenés un arma para defenderte? Hoy en Santo y Seña: Uruguayos, a las armas. 22:30, en Canal 4. Porque todo se sabe. https://t.co/thby6LY5S6",NONE
RT @jorgegandini: Borré Tuit de la R20. Confirmé mi error. Lamento haber confiado en info recibida sin confirmarla antes. Asumo el error y…,NONE
"RT @santotv4: Jihad Diyab, ex #preso de #Guantánamo, que hace semanas se supo se había ido del país fue ubicado en #Venezuela. #SantoySeña",NONE
"¿queremos preocuparnos de la educ? tenemos q preocuparnos de formar ciudadanos críticos,no gente q toma x cierto cualquier bolazo s/chequear",N
Al que más caro le sale este Campeonato es a los vinos Santa Teresa,NEU
"RT @Lascosas690: Después de la 10, #LaPelículaDeLosMiércoles con los personajes de @elgrangustaf y @MarcelKeoroglin. Hoy: Día de la Indepen…",NONE
¿alguien de los que critica la guía educativa sobre diversidad sexual la leyó al menos? ¿o se escandalizan sobre la base de rumores?,NONE
Seguimos siendo los que tenemos más copas América,P
"RT @fcomesana: @janarhertz @JMFVallo Los tengo:
(límite superior de ingreso per cápita hogares 2014)
Q1. $ 10.009
Q2. $ 14.695
Q3. $ 20.426…",NONE
"Confirmado: arman escándalo sobre lo que dice una guía sin haber leído la guía. 
Estamos muy flojos en nuestra cultura cívica",N
"RT @MonteCarloTV: Ya  está en nuestra web el Santo y Seña de ayer: https://t.co/WwAzTf2uhI
¿Qué te pareció? https://t.co/oOo4OhNoOh",NONE
